x0,x1,x2,x3,x4,x5,x6,y
38715.88594391369,32120.37662647797,-103.38087900618075,-105.84396915265236,191159.04419160006,1.2397069070691236,-0.8739588501228821,2.1836192341173385e+40
21988.811712422452,18001.816612740226,-260.93955733446603,-236.4186802219589,812765.2777315195,-1.3089244768534851,-0.07285705542694518,1.1912372050745427e+38
42941.20816197621,38465.96621134049,-200.0706496417118,-167.05560346193968,528232.1187647705,-0.04513738051284493,-0.2665848846231373,1.1062188713968279e+41
34892.61201064345,31100.113767244646,-97.73800952495648,-112.90515273233461,629584.8545032165,-0.1706941462188697,-0.5138134834059732,1.633085981134023e+40
4781.333206551464,3734.733691421025,-270.7625089969565,-250.96260042507774,364154.35866157745,0.3797428756279606,-0.4397230014832396,8.481798460709995e+31
48783.067793706854,41174.740992405386,41.40684520432361,46.84645809440023,77991.20569367833,1.2391599984204347,1.1120145981367944,2.0409348150760102e+41
38076.09392335842,31445.316637104024,-245.68690485140777,-235.67980432569306,857596.5808672465,-1.329451814662408,-0.5985507347603333,1.803661355167852e+40
39320.33011942553,31895.77627093149,-227.84273415259796,-193.64869174768538,199975.32940415337,0.5697979487057669,0.5664078826716058,2.049981007785101e+40
6475.43254316325,5410.613512561943,-3.8038377223081357,-1.5051428288794675,42728.60853966354,1.0315237749937014,0.31459500203114427,2.384349284067638e+33
22563.266019746712,18380.494530189484,-269.8721030595283,-237.50041506816086,576977.0945738618,-0.18637706395678272,-1.3969801157751758,1.4366996237337641e+38
,15733.821338907279,41.72151643470407,33.56787193572535,92456.32818075507,-0.13744699289312357,0.5191694384264413,3.54535053641337e+37
46344.1082433222,38112.32732758909,-22.86900943538049,-24.23609810250986,104804.23334123587,0.4184493689849223,-1.4135132097576943,1.0179828892973662e+41
32221.746794426774,26778.905208614553,-275.29358254545826,-247.70305094804428,802373.2611676999,0.3448170778897882,0.6280918281651601,4.2489988373451245e+39
41152.259734479834,35098.32245055012,-35.24544928933398,-35.41736003187854,496693.49342481553,0.5823526073671226,-0.5071916431308481,4.849852011234676e+40
22215.23680546037,19175.91896286846,-63.375587660781925,-56.99996096848567,249093.36772467158,0.5612805264012167,0.008367253256452208,2.103569781523604e+38
11423.756991496062,10044.171009765265,-18.914392448640974,-9.825229835955739,355140.1591259236,-0.9819723056156512,-1.2942799496263389,6.242781610769766e+35
